,M229-Ctrl-4-Day,M229-DDR-1,M229-DTPPy-2,M229-IFNy-4-Day,M229-MRDDR2-1,M229-MRDDR4-1,M229-PLX-AZD-11-Day,M229-PLX-AZD-14-Day,M229-PLX-AZD-4-Day,M229-PLX-AZD-7-Day,M229-PLX-AZD-IFNy-11-Day,M229-PLX-AZD-IFNy-14-Day,M229-PLX-AZD-IFNy-4-Day,M229-PLX-AZD-IFNy-7-Day,M238-DTPP-2,M238-DTPPy-2,M395-RDDR-1,M397-Ctrl-4-Day,M397-DTPP2-2,M397-DTPPy,M397-IFNy-4-Day,M397-PLX-AZD-11-Day,M397-PLX-AZD-14-Day,M397-PLX-AZD-4-Day,M397-PLX-AZD-7-Day,M397-PLX-AZD-IFNy-11-Day,M397-PLX-AZD-IFNy-14-Day,M397-PLX-AZD-IFNy-4-Day,M397-PLX-AZD-IFNy-7-Day,SK28-Ctrl-4-Day,SK28-IFNy-4-Day,SK28-PLX-AZD-11-Day,SK28-PLX-AZD-14-Day,SK28-PLX-AZD-4-Day,SK28-PLX-AZD-7-Day,SK28-PLX-AZD-IFNy-11-Day,SK28-PLX-AZD-IFNy-14-Day,SK28-PLX-AZD-IFNy-4-Day,SK28-PLX-AZD-IFNy-7-Day,SKMEL28-DDR-1,SKMEL28-DTPPy1-1,SKMEL28-MRDDR-1,SKMEL28-MRDDR2-1
GLI1_UP.V1_UP,0.0298718255618145,0.227285879795769,-0.159710592807963,-0.109968463999824,-0.168645942800944,-0.301433307168474,-0.149534026206104,-0.291454589533104,0.054544204254009,-0.219029577760689,-0.0484080011427764,-0.132213873297229,0.0731641742874236,-0.34872840538555,0.617510149550796,0.557940954563368,0.17175621890547,0.0456165624406852,0.480552485748677,0.414996333525057,-0.366166680332585,0.0399913368237275,0.155781615828674,-0.55095235946879,0.244187278733661,-0.209640264166356,0.0669395665945953,-0.467564550267054,-0.347406599609625,-0.170717525266459,-0.0650738657576745,0.516122769970467,0.0269307948126688,-0.173953153815866,0.386749431116639,0.567127691379803,-0.0569981625638542,0.120184499193547,0.273042962075752,0.100870062942093,-0.567938928377803,0.617228208392692,-0.406256097854965
E2F1_UP.V1_DN,0.0741103414816673,-0.0104828376604313,-0.0949708707449685,0.049356610213235,0.00760540200578702,-0.315317448192061,0.0571893405326157,0.0474504083365421,-0.022262956902687,-0.0121447847634117,0.156156232999898,0.26611515103039,0.0311015892650716,0.0586934963041657,0.358135923195892,0.257311139384377,-0.113546381155568,-0.136834501392317,0.331447587074981,0.159483654496279,-0.231383029895233,-0.361401929398734,-0.434529931500359,-0.431893770417177,-0.139412857618974,-0.190370497818108,0.0277293680404301,-0.0685127164750102,-0.297069862112474,-0.0194897576618634,-0.0212691828805055,0.0566655856513132,0.27183046741633,0.00182551523054522,0.0822662170462042,0.201108945428517,0.290855284352681,0.0113856732552374,0.0870550816787732,0.039371497567718,-0.370561819619034,0.0851828263048554,-0.22274864813332
E2F1_UP.V1_UP,0.359009805853535,-0.107209522141799,-0.120904097701792,0.237643675458298,0.112271620807901,-0.203337954419698,0.103020673767694,0.0989690341949818,0.276415502622799,0.213273319606192,0.209909935452536,0.155990944359229,0.152705763480022,0.16573684823788,0.0304434118102095,-0.220780095002121,-0.0964494358989839,-0.00218202420788011,0.0802481669484799,0.00998762040985737,-0.167722775220371,-0.357932682743489,-0.476452567434888,-0.258162948760482,0.102407399486511,-0.376560641380043,-0.357015487707326,-0.129865619790796,-0.43046705181388,0.38437311173624,0.160156198375506,0.14136179591104,0.300786768814558,0.316963102318165,0.251143131719022,0.313488216491855,0.127183582097913,0.311837783315881,0.149953938266207,0.0144923463752673,-0.406953260522255,0.0794598117765615,-0.312270098223769
EGFR_UP.V1_DN,-0.14528268337229,0.106021010851292,-0.360345817109102,-0.121606547570608,0.0739400732695729,-0.167172245249438,0.035957104608245,0.00511267448539429,-0.0423833592594113,-0.0315776974937549,0.0800216886909877,0.11804047523,0.00443152151722506,0.0305610054495661,0.348739971192549,0.256560528886682,0.221743518297553,-0.0792570569563137,0.28580034278431,0.155778327892277,-0.114603557713854,-0.179812165543866,-0.385531836857163,-0.512788546948226,-0.0461447825364256,-0.286570532244243,-0.100808818690792,-0.23289255031997,-0.320632321570524,-0.0609740810472693,-0.0833158774712567,0.129966101705442,0.29384680086934,0.0892987978503017,0.152092777905811,0.328691543453546,0.424025907532008,0.157627990959191,0.251617735195771,0.120426815356722,-0.209427836825504,0.0864500664943332,-0.283751172612502
EGFR_UP.V1_UP,-0.0207081642453665,0.0943900502366726,0.186397584850649,0.23446614311826,0.221353072584334,-0.358983109682582,-0.185968818615322,-0.129239685259022,-0.2077783637897,-0.18162876490665,0.297193899944622,0.356456102450287,0.113521684261606,0.204093379740502,0.291519952566927,0.37621852363735,-0.223665954120056,-0.299938948162052,0.198412193213163,0.149658424326941,0.0755680254395194,-0.426604937395519,-0.508830196876778,-0.59210091668154,-0.277170569479669,-0.220105047876388,0.101857888648746,-0.279824448881167,-0.371459935708016,0.0280280553220958,0.274854464140605,-0.0422537772915527,0.181651840501039,-0.115620271079325,0.0588698753558252,0.405169986645386,0.437202684660318,0.276556750385928,0.319081933630903,0.334098503093741,-0.307983828121661,0.297815581631572,-0.370849402347928
ERBB2_UP.V1_DN,-0.222216479396999,0.22061835317224,-0.160319940119665,0.0129700359507855,0.301065376190341,-0.162925480252488,-0.115161314209345,-0.0473388914851157,-0.158589055483942,-0.180478485643548,0.241833157230158,0.209088672812616,0.156125869598447,0.118727097454868,0.333228562948379,0.406064861960952,-0.0740543096018943,-0.0559363610806282,0.235194024419776,0.120990913663941,0.197531377544453,-0.324150852642108,-0.482417346301698,-0.592163395399584,-0.168743122394219,-0.176412042363117,-0.00869463410533647,-0.146515550183662,-0.35218858946177,0.0657722679093003,0.190205354900234,-0.0265378244960449,0.15846700968543,-0.0800368040204787,0.082268288175525,0.295299844587074,0.406917931894911,0.130480425089865,0.259457692872595,0.301048142669508,-0.231136412446489,0.167899312619325,-0.392538742667804
ERBB2_UP.V1_UP,0.153050712010688,0.119395647302181,-0.126003414351861,0.111368759097095,-0.0362907586556193,-0.315835719973664,0.140131334733726,0.106851250898493,0.0732384119804556,0.10276202438791,0.233960389944072,0.234720956349383,0.110793839064254,0.0913256055668279,0.295361829108904,0.16256622731997,-0.0707409231123813,-0.306131841103837,0.148338658143071,0.0283184417897155,-0.330745892977889,-0.347910539067951,-0.476923684070831,-0.427012614298575,0.016811640359568,-0.226260819740409,-0.12475399517049,-0.203707496019455,-0.345707444476595,0.0781509265462952,0.0609177331747923,-0.0127535122640279,0.265768071985571,0.0604288109326823,0.0123118190601807,0.211434240459939,0.322797830876057,0.122026176564869,0.0650140513770956,0.116654572197162,-0.319195543546212,0.0774373947906216,-0.332911749485983
GCNP_SHH_UP_EARLY.V1_DN,-0.100382421875056,-0.161079850903146,-0.113806518643672,0.106359380674348,-0.117236438602113,-0.0879817744362717,0.0634287515445728,0.162202642857348,-0.0401768096446743,0.123769189650642,0.173659987201718,0.240048565229471,0.150818327979987,0.278591247471435,-0.0154691180844264,0.159591467647768,-0.0563339421286594,-0.105481110000442,-0.0811274028668431,-0.040439073722572,-0.114397440584442,-0.16039590661226,-0.302243653258061,-0.267141409211417,0.00791127951382692,-0.00640561522940744,-0.00903924634311487,-0.0106683082966312,-0.157252872728911,-0.0250051019612558,0.0227505493513522,-0.119511420560948,0.0588452194507496,0.113051628679254,0.0962081719374742,0.0293913236165652,0.0979818734640626,-0.0193235454016074,0.0965291594730493,-0.0154368838387372,-0.250510677687028,-0.00473908298638706,-0.118332466114874
GCNP_SHH_UP_EARLY.V1_UP,0.322449147356368,-0.243187341104024,-0.159583020120611,0.250526830311205,-0.168636220804753,-0.265207911197599,0.17995289580561,0.18527910623932,0.189861510876216,0.287127627714024,0.229660925121952,0.0763620064885188,0.232342660431976,0.227817041071856,-0.131259190504579,-0.164718166004496,0.0406946801968678,0.0429579891812564,0.0148300966558115,-0.161744692176326,-0.0428418373247881,-0.195171539062163,-0.20058028906753,-0.26639510157903,-0.0232707054657504,-0.279940257321694,-0.255118477199746,-0.158066510519394,-0.238965922362634,0.135396283054744,0.0834106588608021,0.155957374433026,0.0562118667962033,0.297762058213884,0.196731770768664,0.115142800800495,0.154615872475766,0.242977771498729,0.0583656950407152,-0.0568847057216494,-0.187672530953978,0.063833864632395,-0.195771616853287
GCNP_SHH_UP_LATE.V1_DN,0.150721661179732,-0.169982767971463,-0.0564365956923324,0.206887633078265,-0.245101591474501,-0.367033507523666,0.0939469294438491,0.147539984241376,0.143925113475777,0.233319351328549,0.338347199328797,0.394154038492673,0.296061099496582,0.314527726397709,0.0510567792782936,0.0539633337920625,-0.260593290484731,-0.333920077734721,-0.0167276992417544,0.047437398584456,-0.235070894960504,-0.29702153221597,-0.33868911610118,-0.207707795554777,-0.0174974562542383,-0.0776311892015449,-0.0105517938701172,0.0407495196737886,-0.0691356687231454,0.0552445039148874,0.257139672079522,-0.0720102303322375,0.177126367219155,0.0951345285671828,0.00635239202747792,0.210682568846529,0.141188468530491,0.169272110092202,0.0783001848052242,-0.184916131701232,-0.318816283224944,0.00864535483882567,-0.2442421894107
